index,size,value,confirmations,vout,choosen,tx_id
0,148,2120000,2,0,1,20bac972a5465be5e1a53b9864ced87a1b8a375e0fe6cd48155b975822ebe741
1,148,5480,474,0,1,b79df430fbf82145d158baf17c19731af4e1fe6390cbdfeffad1625aef2a4316
2,148,5480,163,0,1,e0dd9c3e1e818a92d28e4b57e5c22c175932c53a2a518abc3d43be52dca11fa1
3,148,1452,924,0,0,1c7e1b7a1f1381cc93ffb707fed19d4c3f3e75f3d93f330784cae8d88a358185
4,148,2520,2452,0,0,75257b19bcc5209400b7b7c09a656397b863fc502b5c93b5fd8514415cf6bf7a
5,148,2480,2727,0,0,8332775b66a19bb3a386e6f304a931b3e4c35f5173d3ad6ca2276e960245f2a3
6,148,2182,3569,0,0,523c3321427fd0e658bdeb1e06cd423f0320f649524fa3a82b8cc9a5cab8aff0
