index,size,value,confirmations,vout,choosen,tx_id
0,148,6004,753,1,1,e07a63a3d367f3a1f287313950b7909c55c0d93b6918c43dfea89b84254656ec
1,148,738481,683,2487,1,7fc60565a5d3ebe6f777ad5e9f8c487fa10e94102c293e3b3ce83aa550d38a4e
2,148,873000,511,2034,1,aa08506492921aa7693479387d394efb7cffaee7669f0d9ecbb0777a0da62b81
3,148,723282,337,2599,1,dbb579e4b3362693194c0c128d542ced405f027b4897abd2ce38c6bacd5d1069
4,148,796917,212,2095,1,c72f7a2acfdc3c0281cac0c97d88400734f280eadb82f042975990a7a7ffc590
5,148,779987,64,2278,1,5844195af61268efde2b758b043ba15b0d18634296f7393987bc0448772e557d
6,148,77671,0,1,0,74af1070946799f68060c5b9d7e00721e1f8399237de6f5d18d58e5bb7543ff3
