index,size,value,confirmations,vout,choosen,tx_id
0,148,236608,20,1,1,596aee520bbf056028d21c59c7a27ee491b5ab5fd1c0e6890e545c5776d55ebd
1,148,1235253,20,1,1,ab2a3246c950b2771b97a94af99276c345f32ee8170e675d8d6248860e32260a
2,148,259981,0,1,0,fbd985944d0d05112c26378ee095228a54aea854fbcdf068c4f5e79edd67b552
3,148,283165,5,5,0,94656077b493cf0f2cbaa3e277c0d79a4b86b1c98be5b91671923e0e6bdfb759
4,148,225836,7,1,0,dcf9fc4efef0a104058b4098ae0f4f48077fd47cb7603f996a15988ed0f6fd7d
5,148,527184,7,1,0,7792a9f3e7491e9a50199d786ef65220d04306b3a0111a4b441ba09948c81c36
6,148,606004,9,1,0,85895ad0736180570ca7e951066918f91a6e367099c0f611d988d5138f54b078
7,148,937189,14,1,0,f45cfad3e6c6ef7902f3ba064110084138512331201a94f8c284d610e96f22ba
