index,size,value,confirmations,vout,choosen,tx_id
0,148,89136,1,4,1,68c19890bc2ecf4309108f26290dfaceccbc2d9e7db8fd719072432977dfb37e
1,148,1266828,2,1,1,b900c6249446ff511a49fd13697b86e93f1baaa886f2dea8c19f753c031ab320
2,148,24920000,2,1,1,9b45c32442b042146e760a37b0a2758c3c34274066c40799c9f4b062f501b668
3,148,23656970,0,4,0,33bf2035353e21f1088ba1b02f4bad71fa8ae391838f0a53b5426ca4d3b9f43b
4,148,6191608,71,1,0,2bae1afb5f5e66dcbb58516740ecdaa45fd05d1f08f68e162b669070fb739e6f
