index,size,value,confirmations,vout,choosen,tx_id
0,148,100000,24705,0,1,fae932ee02f6fbdad67ea3e3951704df5b55fec834b9124014ccb02fbf8fdbcc
1,148,5398000,795,1,1,2e47c1ad476698ae33c990e1cfeb46d3ad5914004f4ee3d153a10a99a1c393e7
