index,size,value,confirmations,vout,choosen,tx_id
0,148,10059881,19025,137,1,a7289204291a0d2f009927b685b4396e904b4cc915700ab5faa843dfbd60e45e
1,148,10050281,20352,131,1,0349cc7671ad7376f69f60448c591dd0eaf6ac4ee07204b7b8a6544a6f0022c1
2,148,10043072,17694,121,1,a3ee5db62449f7f2310817fc354fc664e59ad1ada2c2a1c3b3fbac8241e91d17
3,148,10003338,1258,208,0,4f764f272ada1d01a5b659c707855605fa22093c454fe7ff73080749114481ea
4,148,10004132,7350,317,0,71961a5069196577bb84a9960b2cb65d3f130237a2ec6fff1c696d708d0c5831
5,148,236891,24798,0,0,0f6c6ce45121ba67ed03854d8af2b99af87bd2e40eb4992000fbaf357b7f86c5
