index,size,value,confirmations,vout,choosen,tx_id
0,148,6639204,2932,6,1,83afe3a5f18163f638aca1e84a600b9616f315ac6fdb21396ae4e3ae10998e38
1,148,8294018,2934,4,1,eccce8d9d493cdb0228ce2a3b36ae13742f2f0ca6afcb9eda9589b03d0825b45
